,date,count(id),sum(case when package_status='delivered' then 1 else 0 end)
326,2019-04-21,52,48
327,2019-04-22,501,493
328,2019-04-23,360,352
329,2019-04-24,214,204
330,2019-04-25,335,325
331,2019-04-26,213,210
332,2019-04-27,157,151
333,2019-04-28,72,71
334,2019-04-29,473,461
335,2019-04-30,329,319
336,2019-05-01,68,68
337,2019-05-02,568,551
338,2019-05-03,310,303
339,2019-05-04,171,167
340,2019-05-05,53,51
341,2019-05-06,498,485
342,2019-05-07,431,413
343,2019-05-08,388,379
344,2019-05-09,329,325
345,2019-05-10,309,303
346,2019-05-11,131,131
347,2019-05-12,41,41
348,2019-05-13,492,484
349,2019-05-14,285,277
350,2019-05-15,297,290
351,2019-05-16,1257,1242
352,2019-05-17,799,783
353,2019-05-18,139,135
354,2019-05-19,36,36
355,2019-05-20,256,251
356,2019-05-21,458,452
357,2019-05-22,160,157
358,2019-05-23,380,374
359,2019-05-24,338,329
360,2019-05-25,166,163
361,2019-05-26,32,32
362,2019-05-27,504,487
363,2019-05-28,291,285
364,2019-05-29,383,380
365,2019-05-30,378,370
366,2019-05-31,307,301
367,2019-06-01,173,169
368,2019-06-02,39,39
369,2019-06-03,356,346
370,2019-06-04,102,98
371,2019-06-05,8,8
372,2019-06-06,31,30
373,2019-06-07,240,229
374,2019-06-08,173,172
375,2019-06-09,85,81
376,2019-06-10,487,472
377,2019-06-11,354,343
378,2019-06-12,359,346
379,2019-06-13,342,332
380,2019-06-14,236,224
381,2019-06-15,190,184
382,2019-06-16,38,36
383,2019-06-17,455,441
384,2019-06-18,322,309
385,2019-06-19,321,316
386,2019-06-20,349,342
387,2019-06-21,258,251
388,2019-06-22,148,147
389,2019-06-23,33,33
390,2019-06-24,485,481
391,2019-06-25,279,270
392,2019-06-26,364,362
393,2019-06-27,336,331
394,2019-06-28,285,253
395,2019-06-29,167,163
396,2019-06-30,51,48
397,2019-07-01,516,496
398,2019-07-02,332,320
399,2019-07-03,339,331
400,2019-07-04,275,272
401,2019-07-05,253,251
402,2019-07-06,152,149
403,2019-07-07,62,61
404,2019-07-08,465,459
405,2019-07-09,337,331
406,2019-07-10,274,267
407,2019-07-11,228,224
408,2019-07-12,2025,1985
409,2019-07-13,1025,1012
410,2019-07-14,110,99
411,2019-07-15,706,681
412,2019-07-16,375,364
413,2019-07-17,344,338
414,2019-07-18,290,279
415,2019-07-19,192,191
416,2019-07-20,139,138
417,2019-07-21,52,51
418,2019-07-22,459,450
419,2019-07-23,300,286
420,2019-07-24,341,327
421,2019-07-25,349,341
422,2019-07-26,275,267
423,2019-07-27,187,178
424,2019-07-28,36,36
425,2019-07-29,553,541
426,2019-07-30,99,96
427,2019-07-31,565,555
428,2019-08-01,361,350
429,2019-08-02,276,271
430,2019-08-03,157,155
431,2019-08-04,72,69
432,2019-08-05,543,509
433,2019-08-06,333,322
434,2019-08-07,354,345
435,2019-08-08,315,305
436,2019-08-09,219,211
437,2019-08-10,209,204
438,2019-08-11,29,26
439,2019-08-12,115,113
440,2019-08-13,496,481
441,2019-08-14,395,389
442,2019-08-15,427,419
443,2019-08-16,268,254
444,2019-08-17,200,197
445,2019-08-18,64,63
446,2019-08-19,483,465
447,2019-08-20,330,322
448,2019-08-21,518,503
449,2019-08-22,486,467
450,2019-08-23,279,274
451,2019-08-24,153,152
452,2019-08-25,53,51
453,2019-08-26,571,551
454,2019-08-27,436,425
455,2019-08-28,387,380
456,2019-08-29,349,338
457,2019-08-30,387,357
458,2019-08-31,50,49
459,2019-09-01,61,54
460,2019-09-02,403,385
461,2019-09-03,825,777
462,2019-09-04,444,415
463,2019-09-05,389,377
464,2019-09-06,257,242
465,2019-09-07,197,178
466,2019-09-08,96,89
467,2019-09-09,3667,3526
468,2019-09-10,3268,3193
469,2019-09-11,832,806
470,2019-09-12,624,592
471,2019-09-13,622,613
472,2019-09-14,421,407
473,2019-09-15,80,79
474,2019-09-16,947,927
475,2019-09-17,1835,1779
476,2019-09-18,1546,1501
